ags,municipality_name,status,reported_precincts,total_precincts,voters_total,valid_votes,invalid_votes,source_timestamp,payload_hash,error_message
08111000,Stuttgart-Landeshauptstadt,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115001,Aidlingen,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115002,Altdorf,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115003,Böblingen-Stadt,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115004,Bondorf,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115010,Deckenpfronn,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115013,Ehningen,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115015,Gärtringen,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115016,Gäufelden,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115021,Herrenberg-Stadt,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115022,Hildrizhausen,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115024,Holzgerlingen-Stadt,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115028,Leonberg-Stadt,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115029,Magstadt,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115034,Mötzingen,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115037,Nufringen,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115041,Renningen-Stadt,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115042,Rutesheim-Stadt,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115044,Schönaich,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115045,Sindelfingen-Stadt,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115046,Steinenbronn,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115048,Waldenbuch-Stadt,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115050,Weil der Stadt-Stadt,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115051,Weil im Schönbuch,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115052,Weissach,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115053,Jettingen,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08115054,Grafenau,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116004,Altbach,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116005,Altdorf,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116006,Altenriet,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116007,Baltmannsweiler,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116008,Bempflingen,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116011,Beuren,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116012,Bissingen an der Teck,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116014,Deizisau,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116015,Denkendorf,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116016,Dettingen unter Teck,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116018,Erkenbrechtsweiler,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116019,Esslingen am Neckar-Stadt,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116020,Frickenhausen,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116022,Großbettlingen,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116027,Hochdorf,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116029,Holzmaden,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116033,Kirchheim unter Teck-Stadt,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116035,Köngen,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116036,Kohlberg,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116037,Lichtenwald,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116041,Neckartailfingen,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116042,Neckartenzlingen,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116043,Neidlingen,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116046,Neuffen-Stadt,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116047,Neuhausen auf den Fildern,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116048,Notzingen,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116049,Nürtingen-Stadt,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116050,Oberboihingen,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116053,Ohmden,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116054,Owen-Stadt,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
08116056,Plochingen-Stadt,NO_DATA,,,,,,,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
